NDRE,CHM,LAI,DTM,Disease
0.061254907,0.6150522,0.09785134,74.29183,0.0
0.1012018,0.5686979,0.168364,74.07576,0.0
0.06827572,0.45369896,0.10804113,73.87897,0.0
0.02067458,0.2074778,0.027134474,74.47656,1.0
0.095286794,0.5750355,0.15275441,74.23978,0.0
0.0553019,0.44484687,0.08497532,74.04358,0.0
0.032370757,0.050667126,0.044355236,74.682785,0.0
0.10921562,0.59877086,0.16952406,74.46213,0.0
0.053253125,0.5241917,0.08504501,74.22933,0.0
0.100524,0.51009464,0.16181242,74.87208,1.0
0.116960034,0.6361278,0.18816443,74.67816,0.0
0.07837441,0.5920927,0.12506004,74.40202,1.0
0.089437395,0.49069068,0.12538797,75.05255,1.0
0.09211904,0.45747426,0.14751145,74.84204,0.0
0.13036063,0.64350605,0.2212059,74.55359,0.0
0.06522237,0.20781352,0.07522742,75.202965,0.0
0.019624308,0.03642873,5.2120646e-05,74.97029,0.0
0.14371663,0.69326687,0.238338,74.69392,1.0
0.06152016,0.18902516,0.08048398,75.30357,0.0
0.06477954,0.24964696,0.085030824,75.063675,0.0
0.059187148,0.30750647,0.08199829,74.800606,0.0
0.09343227,0.70578676,0.14852844,75.34098,0.0
0.065752655,0.29751652,0.10036915,75.12775,0.0
0.09793036,0.59489924,0.14232521,75.38446,1.0
0.12978096,0.61194915,0.20862621,75.176476,1.0
0.036622874,0.09098963,0.056033865,74.955696,0.0
0.05804185,0.12983923,0.051763333,75.47759,0.0
0.09092917,0.5829261,0.14257899,75.2418,0.0
0.07017846,0.519864,0.107384846,74.9782,1.0
0.08089859,0.21009587,0.105505295,75.536064,1.0
0.12231209,0.57965046,0.18369882,75.25473,1.0
0.06289807,0.5134829,0.084035076,74.97779,0.0
0.10267319,0.41183418,0.16477954,75.51768,1.0
0.10535127,0.68131447,0.16216415,75.219604,1.0
0.09037307,0.59140366,0.14340188,74.95467,0.0
0.08263493,0.24838048,0.12832652,75.43289,1.0
0.07481746,0.5728354,0.10754573,75.12048,1.0
0.09246015,0.83472776,0.15910041,74.873634,0.0
0.04315246,0.2087168,0.0619794,75.34277,0.0
0.053339705,0.15809025,0.06381489,75.06408,0.0
0.091572344,0.7060359,0.14150774,74.788284,1.0
0.0682334,0.46686462,0.09338014,75.19909,1.0
0.046682056,0.20656376,0.07871728,74.972626,0.0
0.10487594,0.29956478,0.1739505,74.711555,1.0
0.07379765,0.6336293,0.10484174,75.06386,0.0
0.038657997,0.370596,0.059960663,74.85943,0.0
0.0840258,0.5094841,0.13003987,74.62297,1.0
0.09588522,0.82490134,0.16630831,74.96704,1.0
0.080307156,0.76049167,0.12979046,74.75459,0.0
0.07412837,0.5216426,0.11183015,74.51325,1.0
0.09236063,0.8042323,0.147034,74.927216,1.0
0.10667283,0.61166525,0.15612659,74.70935,0.0
0.08701192,0.21896291,0.12845047,74.43022,0.0
0.06287409,0.5804762,0.10365694,74.85293,0.0
0.065366775,0.36491364,0.09221196,74.644196,0.0
0.063805364,0.48139045,0.08986847,74.31805,0.0
0.10585333,0.84977436,0.17264076,74.711716,1.0
0.10656944,0.63933796,0.15543097,74.51227,0.0
0.072046444,0.4791963,0.10776033,74.189545,1.0
0.12027935,0.7047736,0.18972065,74.610565,1.0
0.10962277,0.5489134,0.16398937,74.37221,0.0
0.08470336,0.46344525,0.12875639,74.03463,0.0
0.061212834,0.33470947,0.0871815,74.52133,0.0
0.08226515,0.391044,0.113175415,74.24148,0.0
0.09982131,0.11167191,0.11176761,73.90355,0.0
0.047133707,0.4546323,0.057896525,74.33726,0.0
0.09029593,0.5391688,0.12274021,74.08296,0.0
0.11522741,0.60082537,0.18270801,73.7232,0.0
0.06190718,0.4728631,0.08861161,74.12888,0.0
0.096024506,0.5729288,0.14284924,73.92034,0.0
0.1451965,0.64015085,0.25514036,73.557945,1.0
0.0705266,0.3832118,0.093603864,73.97628,1.0
0.064982094,0.18582056,0.09292723,73.81466,1.0
0.104949705,0.54196507,0.16597767,73.50879,1.0
0.067471586,0.4254675,0.07957466,73.86648,0.0
0.04270497,0.12471306,0.06861138,73.67015,0.0
0.0797808,0.46787542,0.12960505,73.38337,1.0
0.021631954,0.07744737,0.028360559,73.72459,0.0
0.08035734,0.629645,0.12634301,73.49628,0.0
0.074661754,0.55981976,0.115226306,73.20783,0.0
0.083753005,0.6473993,0.13640803,73.56231,0.0
0.09529013,0.5461512,0.14791796,73.35417,1.0
0.08813122,0.54157907,0.12998082,73.03178,1.0
0.10175669,0.67180216,0.16147657,73.40159,0.0
0.1246193,0.540221,0.18797399,73.19041,0.0
0.10419508,0.5524723,0.16240983,72.90273,1.0
0.092072286,0.6254999,0.1466794,73.23779,0.0
0.08129096,0.3825925,0.106042586,73.011696,1.0
0.10549382,0.64116764,0.16881283,72.76899,1.0
0.11497357,0.43626973,0.18566962,73.10331,0.0
0.05881892,0.086020835,0.0711038,72.896385,0.0
0.10640819,0.612331,0.17708029,72.66039,1.0
0.039078623,0.29547906,0.053399768,72.97567,0.0
0.047307726,0.13582563,0.06180116,72.7893,0.0
0.07361959,0.4572389,0.116564065,72.57421,0.0
0.109979,0.63793117,0.17010659,72.82061,0.0
0.11608416,0.60464543,0.1728637,72.6362,0.0
0.074447624,0.4093141,0.08928027,72.4605,0.0
0.08589364,0.6481682,0.13468035,72.66026,1.0
0.10456376,0.6651337,0.16631685,72.47207,0.0
0.086078875,0.53947437,0.12826334,72.30188,1.0
0.061614875,0.03232144,0.1077173,72.46113,0.0
0.10360753,0.6663278,0.16106334,72.318504,1.0
0.071479514,0.66365016,0.12015418,72.143715,1.0
0.1188085,0.6026553,0.17900415,72.17618,0.0
0.05949245,0.53546244,0.086502686,72.02032,1.0
0.082336776,0.36814487,0.11296411,72.08539,0.0
0.16134651,0.70476204,0.26393387,71.9996,1.0
0.070932716,0.3604839,0.097100906,71.86495,0.0
0.093091615,0.6500531,0.14327756,71.8223,0.0
0.12867488,0.5094038,0.20295006,71.75383,1.0
0.04931281,0.34920073,0.06673079,71.63743,0.0
0.09980932,0.7361043,0.16282813,71.582825,1.0
0.103261724,0.19073391,0.12095604,71.55922,0.0
0.061617423,0.07090064,0.06173533,71.48736,0.0
0.082250684,0.7402479,0.12894703,71.38208,1.0
0.12308372,0.65596074,0.200868,71.425026,0.0
0.07769692,0.23395321,0.096137024,71.38847,0.0
0.10105504,0.75917137,0.15096267,71.130516,1.0
0.08949451,0.4486881,0.1346223,71.245316,0.0
0.10800141,0.54135567,0.15601097,71.23435,1.0
0.10878327,0.73536336,0.15844488,70.83856,1.0
0.11212221,0.8605267,0.1811395,70.9968,1.0
0.10248854,0.5240821,0.14924227,71.042244,1.0
0.12936677,0.8067669,0.20149255,70.42447,0.0
0.10877029,0.79134756,0.1661006,70.67191,1.0
0.02079566,0.31626207,0.026427077,70.84092,0.0
0.15754431,0.95364696,0.2644436,69.89085,1.0
0.117054,0.8982599,0.18985884,70.259415,1.0
0.07492873,0.7600026,0.11638711,70.54088,0.0
0.12946568,0.86569905,0.19952436,69.30087,1.0
0.109453574,0.9125585,0.16708502,69.72433,0.0
0.103243776,0.79015535,0.15197666,70.11596,1.0
0.12329558,0.8794003,0.19845532,68.79096,0.0
0.10969505,1.0152227,0.17927958,69.19097,0.0
0.112112336,0.89855367,0.17363612,69.65137,1.0
0.1424452,0.8951917,0.2363393,68.3986,1.0
0.14015238,0.99332887,0.22115244,68.73259,0.0
0.087982714,0.7763856,0.12350567,69.218056,0.0
0.11950912,0.7957361,0.19616425,68.13397,0.0
0.12004517,0.92964166,0.1762363,68.35716,0.0
0.14070854,0.84360814,0.21586762,68.792755,1.0
0.1342556,0.76801234,0.22235313,67.96983,1.0
0.121280685,0.733903,0.16144729,68.10302,1.0
0.12893914,0.8539192,0.18885651,68.42793,0.0
0.13966173,0.43981057,0.22840944,67.849396,0.0
0.1215396,0.70168185,0.18315971,67.90006,1.0
0.10603995,0.36434597,0.14204709,68.110886,0.0
0.11032837,0.0531102,0.15216921,67.70398,0.0
0.073409,0.15661375,0.09673188,67.77506,0.0
